Domain Code,Domain,Country Code (M49),Country,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,year_dt
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2012,2012,tonnes,3677.86,I,Imputed value,2012-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2013,2013,tonnes,4255.14,I,Imputed value,2013-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2014,2014,tonnes,5019.67,I,Imputed value,2014-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2015,2015,tonnes,5821.55,I,Imputed value,2015-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2016,2016,tonnes,6810.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2017,2017,tonnes,5883.74,E,Estimated value,2017-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2018,2018,tonnes,6171.76,E,Estimated value,2018-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2019,2019,tonnes,6288.5,E,Estimated value,2019-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2020,2020,tonnes,6114.67,E,Estimated value,2020-01-01
QCL,Crops and livestock products,36,Australia,5510,Production,1355.01,Blueberries,2021,2021,tonnes,6191.64,E,Estimated value,2021-01-01
QCL,Crops and livestock products,40,Austria,5510,Production,1355.01,Blueberries,2018,2018,tonnes,1420.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,40,Austria,5510,Production,1355.01,Blueberries,2019,2019,tonnes,1350.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,40,Austria,5510,Production,1355.01,Blueberries,2020,2020,tonnes,1570.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,40,Austria,5510,Production,1355.01,Blueberries,2021,2021,tonnes,1740.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,56,Belgium,5510,Production,1355.01,Blueberries,2018,2018,tonnes,600.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,56,Belgium,5510,Production,1355.01,Blueberries,2019,2019,tonnes,700.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,56,Belgium,5510,Production,1355.01,Blueberries,2020,2020,tonnes,600.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,56,Belgium,5510,Production,1355.01,Blueberries,2021,2021,tonnes,830.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2012,2012,tonnes,100.0,E,Estimated value,2012-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2013,2013,tonnes,99.51,I,Imputed value,2013-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2014,2014,tonnes,98.0,E,Estimated value,2014-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2015,2015,tonnes,96.7,I,Imputed value,2015-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2016,2016,tonnes,98.72,I,Imputed value,2016-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2017,2017,tonnes,98.54,I,Imputed value,2017-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2018,2018,tonnes,100.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2020,2020,tonnes,80.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,100,Bulgaria,5510,Production,1355.01,Blueberries,2021,2021,tonnes,110.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2012,2012,tonnes,127174.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2013,2013,tonnes,110313.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2014,2014,tonnes,166739.0,A,Official figure,2014-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2015,2015,tonnes,175549.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2016,2016,tonnes,211191.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2017,2017,tonnes,173641.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2018,2018,tonnes,155229.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2019,2019,tonnes,176490.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2020,2020,tonnes,148465.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,124,Canada,5510,Production,1355.01,Blueberries,2021,2021,tonnes,146551.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2012,2012,tonnes,78000.0,E,Estimated value,2012-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2013,2013,tonnes,82000.0,E,Estimated value,2013-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2014,2014,tonnes,88000.0,E,Estimated value,2014-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2015,2015,tonnes,93000.0,E,Estimated value,2015-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2016,2016,tonnes,116000.0,E,Estimated value,2016-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2017,2017,tonnes,95000.0,E,Estimated value,2017-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2018,2018,tonnes,126000.0,E,Estimated value,2018-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2019,2019,tonnes,150470.32,I,Imputed value,2019-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2020,2020,tonnes,123915.78,I,Imputed value,2020-01-01
QCL,Crops and livestock products,152,Chile,5510,Production,1355.01,Blueberries,2021,2021,tonnes,122794.82,I,Imputed value,2021-01-01
QCL,Crops and livestock products,191,Croatia,5510,Production,1355.01,Blueberries,2018,2018,tonnes,310.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,191,Croatia,5510,Production,1355.01,Blueberries,2019,2019,tonnes,360.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,191,Croatia,5510,Production,1355.01,Blueberries,2020,2020,tonnes,720.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,191,Croatia,5510,Production,1355.01,Blueberries,2021,2021,tonnes,540.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2012,2012,tonnes,57.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2013,2013,tonnes,34.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2014,2014,tonnes,35.0,A,Official figure,2014-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2015,2015,tonnes,35.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2016,2016,tonnes,34.0,T,Unofficial figure,2016-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2017,2017,tonnes,40.0,T,Unofficial figure,2017-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2018,2018,tonnes,100.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2019,2019,tonnes,130.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2020,2020,tonnes,110.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,208,Denmark,5510,Production,1355.01,Blueberries,2021,2021,tonnes,120.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,246,Finland,5510,Production,1355.01,Blueberries,2018,2018,tonnes,130.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,246,Finland,5510,Production,1355.01,Blueberries,2019,2019,tonnes,200.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,246,Finland,5510,Production,1355.01,Blueberries,2020,2020,tonnes,150.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,246,Finland,5510,Production,1355.01,Blueberries,2021,2021,tonnes,190.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,250,France,5510,Production,1355.01,Blueberries,2012,2012,tonnes,8161.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,250,France,5510,Production,1355.01,Blueberries,2013,2013,tonnes,9120.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,250,France,5510,Production,1355.01,Blueberries,2014,2014,tonnes,10260.0,A,Official figure,2014-01-01
