item,country_count_21,21_production,country_count_12,12_production,difference,production_change,percent_change
Other pome fruits,12,130901.08,2,44600.0,10,86301.08,193.50017937219732
Anise badian coriander cumin caraway fennel and juniper berries raw,31,2749353.89,40,970984.96,-9,1778368.9300000002,183.15102738563533
Blueberries,33,1113260.61,26,482785.93,7,630474.6800000002,130.59093913528096
True hemp raw or retted,20,360196.54,17,160005.1,3,200191.43999999997,125.11566193827571
Avocados,70,8810452.45,64,4418495.69,6,4391956.759999999,99.39936729914515
Hempseed,5,5566.030000000001,8,2893.37,-3,2672.6600000000008,92.37187086338771
Pepper (Piper spp.) raw,43,827174.37,41,445539.97,2,381634.4,85.65660225725654
Maté leaves,3,1515231.05,3,821534.0,0,693697.05,84.43923805953254
Ginger raw,39,5556806.4799999995,39,3016132.7600000002,0,2540673.7199999993,84.23613687349754
Lupins,25,1384963.6500000001,26,803032.42,-1,581931.2300000001,72.46671684811929
