Domain Code,Domain,Country Code (M49),Country,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Year_dt
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2012,2012-01-01,ha,151560.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2013,2013-01-01,ha,164995.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2014,2014-01-01,ha,166038.0,A,Official figure,2014-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2015,2015-01-01,ha,167839.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2016,2016-01-01,ha,160646.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2017,2017-01-01,ha,160610.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2018,2018-01-01,ha,162102.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2019,2019-01-01,ha,175407.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2020,2020-01-01,ha,170721.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1312.0,Bananas,2021,2021-01-01,ha,174100.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2012,2012-01-01,ha,400.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2013,2013-01-01,ha,650.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2014,2014-01-01,ha,300.0,A,Official figure,2014-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2015,2015-01-01,ha,1158.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2016,2016-01-01,ha,1945.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2017,2017-01-01,ha,4134.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2018,2018-01-01,ha,6011.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2019,2019-01-01,ha,8490.0,I,Imputed value,2019-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2020,2020-01-01,ha,9110.0,I,Imputed value,2020-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,1355.01,Blueberries,2021,2021-01-01,ha,16041.0,E,Estimated value,2021-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,112.0,Maize (corn),2012,2012-01-01,ha,505944.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,604,Peru,5312,Area harvested,112.0,Maize (corn),2013,2013-01-01,ha,511062.0,A,Official figure,2013-01-01
