,,Value,Value
,,sum,count
Item,Year,,
Almonds in shell,2012,0.0,2
Almonds in shell,2013,0.0,2
Almonds in shell,2014,0.0,2
Almonds in shell,2015,0.0,2
Almonds in shell,2016,0.0,2
Almonds in shell,2017,0.0,2
Almonds in shell,2018,0.0,2
Almonds in shell,2019,0.0,2
Almonds in shell,2020,0.0,2
Almonds in shell,2021,0.0,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2012,1495.01,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2013,1003.39,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2014,674.0,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2015,606.0,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2016,588.99,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2017,149.45999999999998,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2018,157.0,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2019,208.0,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2020,251.0,2
Anise badian coriander cumin caraway fennel and juniper berries raw,2021,199.0,2
Apples,2012,156256.92,2
Apples,2013,165792.42,2
Apples,2014,169540.0,2
Apples,2015,169294.0,2
Apples,2016,167857.38,2
Apples,2017,159488.0,2
Apples,2018,149150.8,2
Apples,2019,154325.0,2
Apples,2020,147593.02,2
Apples,2021,150862.67,2
Apricots,2012,324.11,2
Apricots,2013,335.13,2
Apricots,2014,311.0,2
Apricots,2015,301.0,2
Apricots,2016,299.0,2
Apricots,2017,255.0,2
Apricots,2018,431.0,2
Apricots,2019,532.0,2
Apricots,2020,580.0,2
Apricots,2021,556.0,2
Artichokes,2012,149601.0,2
Artichokes,2013,118713.0,2
Artichokes,2014,108638.11,2
Artichokes,2015,95496.0,2
Artichokes,2016,114894.33,2
Artichokes,2017,153714.0,2
Artichokes,2018,162620.94,2
Artichokes,2019,139441.22,2
Artichokes,2020,86611.82,2
Artichokes,2021,105710.44,2
Asparagus,2012,409040.71,2
Asparagus,2013,416816.73,2
Asparagus,2014,409620.0,2
Asparagus,2015,402902.0,2
Asparagus,2016,410272.79,2
Asparagus,2017,415463.0,2
Asparagus,2018,391635.14,2
Asparagus,2019,388489.56,2
Asparagus,2020,402611.11,2
Asparagus,2021,396407.83,2
Avocados,2012,290140.27,2
Avocados,2013,314140.0,2
Avocados,2014,379637.0,2
Avocados,2015,400700.0,2
Avocados,2016,493265.17,2
Avocados,2017,506425.0,2
Avocados,2018,546067.74,2
Avocados,2019,619896.85,2
Avocados,2020,723473.24,2
Avocados,2021,828895.96,2
Bananas,2012,2233649.3,2
Bananas,2013,2279848.0,2
Bananas,2014,2291877.0,2
Bananas,2015,2313200.0,2
Bananas,2016,2234640.7,2
Bananas,2017,2141657.0,2
Bananas,2018,2356959.56,2
Bananas,2019,2427578.5,2
Bananas,2020,2496806.08,2
Bananas,2021,2552145.18,2
Barley,2012,365664.74,2
Barley,2013,378660.08999999997,2
Barley,2014,377136.0,2
Barley,2015,373005.0,2
Barley,2016,342862.42000000004,2
Barley,2017,336118.0,2
Barley,2018,343314.6,2
Barley,2019,342862.42000000004,2
Barley,2020,329179.0,2
Barley,2021,346451.0,2
Beans dry,2012,174594.71000000002,2
Beans dry,2013,177746.0,2
Beans dry,2014,166287.0,2
Beans dry,2015,168146.0,2
Beans dry,2016,151832.75,2
Beans dry,2017,141694.0,2
Beans dry,2018,162901.47,2
Beans dry,2019,157739.56,2
Beans dry,2020,156029.43,2
Beans dry,2021,162377.47999999998,2
Blueberries,2012,960.0,2
Blueberries,2013,2318.0,2
Blueberries,2014,2800.0,2
Blueberries,2015,11743.0,2
Blueberries,2016,24923.29,2
Blueberries,2017,56435.0,2
Blueberries,2018,100816.0,2
Blueberries,2019,156390.0,2
Blueberries,2020,188415.0,2
Blueberries,2021,244012.0,2
Brazil nuts in shell,2012,5600.0,1
Brazil nuts in shell,2013,5600.0,1
Brazil nuts in shell,2014,5600.0,1
Brazil nuts in shell,2015,5795.25,1
Brazil nuts in shell,2016,5665.08,1
Brazil nuts in shell,2017,6137.24,1
Brazil nuts in shell,2018,6465.77,1
Brazil nuts in shell,2019,7100.0,1
Brazil nuts in shell,2020,7000.0,1
Brazil nuts in shell,2021,6913.15,1
Broad beans and horse beans dry,2012,129401.07,2
Broad beans and horse beans dry,2013,136150.0,2
Broad beans and horse beans dry,2014,139405.0,2
Broad beans and horse beans dry,2015,138399.0,2
Broad beans and horse beans dry,2016,125829.59,2
Broad beans and horse beans dry,2017,123796.0,2
Broad beans and horse beans dry,2018,134529.22999999998,2
